p03,p05,p10,p11,p12,p13,p16,p18,p19,p21,p23,p24,p26,p27,p28,p29,p30,p31,p32,p33,p35,p36,p37,p38,p39,p40,p41,p42,p43,p46,p47,p49
0.582582166,0.424979833,,,0,1,0.99294763,0.635067377,0,1,0,0,0,0,0.608171265,0.28505056,,0,0.745280475,,0.260514019,,,0.918088737,0.346401985,0.32115869,0.44495976,,0.839824732,,,0
0.5778178,0.367349602,,,0.427304488,0.995123203,0.862546617,0.851579721,0.522792023,1,,0,0,0,0.589924942,0.018233915,,,0.86239134,,,,,1,0.521833782,0,0,,0.960751629,,,0
0.243562408,0.539122703,,,0.882292864,0.991669061,0.310318196,0.873676152,0.663361029,1,,,,0.669563891,0.824879039,,,,0.801543365,,,,,0.899147926,,0,0.095847937,,0.376325595,,,
0.31866173,0,,,0.819732228,0.972845156,0.601130107,1,0,1,,,,0.105255538,,,,,0.891415759,,,,,0.840191871,,,,,0.839634146,,,
0.261231931,,,,0.514442916,1,0.44935176,0.693228346,0.685043595,1,,,,0,,,,,0.442095147,,,,,0.641497542,,,,,,,,
0.07373502,,,,0.824219911,1,0.278178475,0.992936925,,0.797146605,,,,0,,,,,0.813568236,,,,,,,,,,,,,
0.465838509,,,,0.78553137,0.939345357,0.315072934,0.636660448,,1,,,,0,,,,,0.464520456,,,,,,,,,,,,,
0.460438087,,,,0.551482401,1,,0.551073223,,0.821153846,,,,0.060506365,,,,,0.760018146,,,,,,,,,,,,,
0.037075486,,,,0.931863997,1,,0.847908745,,0.929172601,,,,0.008635579,,,,,0.703158873,,,,,,,,,,,,,
,,,,0.595165746,0.951651108,,1,,1,,,,0.130996608,,,,,0.680867192,,,,,,,,,,,,,
,,,,0.851575187,0.811958069,,1,,1,,,,,,,,,0.752686728,,,,,,,,,,,,,
,,,,0.848593418,0.980030488,,0.587926509,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,0.836669568,0.993941063,,1,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,0.846421871,1,,0.836832716,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,0.554808904,0.913573169,,0.90209997,,0.623118838,,,,,,,,,,,,,,,,,,,,,,
,,,,0.539644657,0.71888536,,0.94702381,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,0.461225766,,,1,,0.956296577,,,,,,,,,,,,,,,,,,,,,,
,,,,0.824129736,,,0.859773138,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,0.106776727,,,0.549667874,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.720297377,,,,,,,,,,,,,,,,,,,,,,
